income,age,educ,hh_size,ethnic,own_house,x
9,5,6,2,1,1,.050204601
1,7,4,,1,1,.62218922
7,7,5,2,1,1,.61891145
1,1,2,4,1,1,.90289438
1,1,3,4,1,1,.38305792
7,3,2,2,1,,.35137045
5,6,3,2,1,1,.69784951
8,3,4,1,1,1,.78281254
6,5,4,1,1,,.83125645
6,3,5,2,1,1,.84981048
8,4,4,2,1,1,.99975073
8,5,4,3,0,1,.091394514
8,6,6,2,1,,.63069588
5,7,6,2,1,1,.076128855
2,3,6,1,1,0,.34577623
1,3,4,1,0,,.09631826
3,3,5,2,1,0,.54500425
5,3,5,1,1,0,.80781019
7,6,4,2,1,1,.11869691
3,3,4,1,1,0,.27231389
8,4,4,2,1,1,.43175596
1,1,2,,0,1,.79706073
1,1,3,4,1,1,.58241123
8,3,5,2,1,1,.11611979
8,6,4,2,1,1,.74225098
8,6,4,4,1,1,.26177752
8,4,5,4,1,1,.80698615
6,3,4,3,1,1,.66739798
8,5,6,,1,1,.2427153
9,2,4,3,1,1,.62915105
8,5,5,4,0,1,.53290236
6,5,4,1,1,0,.72759014
6,3,6,2,1,0,.6358732
6,2,3,2,1,0,.30897725
8,4,6,1,1,,.031594325
6,5,6,1,1,,.76752055
8,4,4,2,1,0,.78265041
6,3,6,2,0,1,.40328324
2,3,6,2,0,1,.2183805
8,2,4,5,1,1,.65437996
1,1,2,4,0,1,.62493837
8,3,3,4,1,1,.65313381
9,4,6,4,1,1,.87177563
1,2,4,2,0,0,.32287887
1,2,4,2,1,0,.79299837
8,4,4,4,1,1,.89054096
2,2,4,3,1,1,.58506513
9,4,3,2,1,,.16509147
2,2,4,3,1,1,.21370257
7,7,5,1,1,,.75403363
4,3,6,1,1,0,.48790219
2,1,2,,1,1,.78476101
1,1,2,3,1,1,.35919839
2,2,3,4,1,0,.27472454
2,3,3,5,1,0,.35986549
1,4,3,3,1,0,.40990213
6,4,4,3,1,1,.74529016
3,6,1,4,0,1,.64890456
1,2,2,9,1,0,.024716996
1,6,4,1,1,0,.8951959
7,6,5,,1,,.30256706
1,2,5,2,1,1,.90940088
1,3,4,3,1,0,.1980502
1,2,4,3,0,1,.93962812
4,2,5,2,1,0,.97960019
4,2,4,2,1,0,.019446915
1,7,2,,1,0,.6482321
4,2,4,2,1,0,.44841868
7,4,6,3,1,1,.68403286
8,6,5,2,1,1,.17468606
8,7,3,2,1,1,.075176522
4,3,5,6,1,1,.25289148
8,7,5,2,1,1,.098340824
7,3,5,1,1,1,.51919395
6,4,4,5,0,1,.24395096
6,6,6,1,1,,.76116318
6,3,4,2,1,0,.48342595
9,4,6,4,1,1,.48424527
6,5,4,2,1,1,.47314665
9,5,4,,0,1,.71081221
7,3,5,4,0,,.14951538
9,4,4,2,1,1,.9263857
9,4,4,3,1,1,.38835418
5,7,3,1,1,,.3072758
3,5,6,1,1,0,.87339008
1,6,3,1,1,1,.98200029
1,5,4,2,1,1,.76213139
8,4,5,4,1,1,.74494225
8,2,4,3,1,1,.31344756
3,2,5,2,1,1,.74240381
3,5,3,2,1,1,.32169744
4,4,5,1,1,0,.48313835
6,7,6,2,1,1,.95088404
3,2,3,3,1,0,.5302431
3,3,4,4,1,1,.026787916
2,1,3,4,0,0,.47552767
5,2,3,7,0,0,.096543036
5,3,2,7,0,0,.26997179
1,1,2,4,1,,.9286809
4,3,5,2,1,,.82764679
7,2,4,4,1,1,.088341586
1,2,4,4,1,1,.20203817
8,2,4,4,1,0,.21422483
3,1,3,4,1,1,.6291219
1,1,2,4,1,1,.45176479
8,3,4,3,1,1,.82852364
1,1,2,4,1,1,.18163061
1,1,2,3,1,1,.5259434
4,5,6,1,1,1,.04015534
6,5,4,2,1,1,.81738466
3,3,4,1,1,0,.018189823
2,3,3,1,1,,.87089241
9,4,6,3,1,1,.71014887
8,3,4,2,0,1,.20581768
6,6,3,2,1,1,.13346358
2,3,4,1,1,0,.27601084
2,2,4,1,1,0,.65223169
3,2,4,8,1,1,.35026807
6,3,3,2,1,0,.99219447
1,3,4,4,1,1,.020888692
8,1,2,3,1,1,.368774
2,3,3,3,0,0,.45485398
3,2,3,2,1,1,.13762499
1,3,3,2,1,0,.5867818
6,4,4,1,1,,.59848934
7,5,5,2,1,1,.02060423
9,5,3,2,1,1,.62552142
1,1,2,2,1,0,.24355401
7,7,1,2,1,,.58917648
9,2,2,3,0,1,.36138901
8,4,6,4,1,1,.32132691
8,4,4,4,0,1,.96845788
1,1,2,4,1,1,.80636376
3,7,3,2,1,1,.69207442
7,6,3,2,1,,.90564817
4,3,4,3,1,0,.88476634
2,2,3,1,1,1,.79553884
6,7,4,2,1,1,.373362
6,7,5,2,1,1,.41377056
5,7,3,1,1,,.97941208
6,5,5,3,1,1,.4671331
5,7,4,2,1,1,.3582671
9,3,4,,1,,.70491987
4,2,3,4,1,1,.54907256
3,1,1,3,1,0,.46668527
1,1,1,,1,0,.55963516
2,6,3,2,1,1,.13266039
6,6,6,2,1,0,.096404016
7,6,6,2,1,1,.60344112
4,2,3,4,1,0,.042560913
4,4,4,4,1,,.10262416
1,1,2,5,1,1,.98171979
6,4,5,3,1,,.54222232
4,7,6,2,1,1,.54696667
1,1,1,4,1,1,.90744066
2,2,4,2,1,0,.1058121
1,3,2,2,0,1,.51389873
2,2,4,2,1,0,.35694766
3,6,5,2,1,1,.018503504
4,6,3,2,1,1,.86773717
3,7,4,3,1,1,.14396448
1,2,3,4,1,1,.3736859
9,7,3,1,1,1,.96153164
1,2,2,2,1,0,.0034408362
5,6,5,2,1,1,.94521195
6,6,4,2,1,1,.90757847
8,6,5,2,1,1,.23994325
5,4,5,2,1,,.51792276
7,4,5,1,1,1,.82193595
2,2,4,3,1,0,.65964389
8,7,4,2,1,1,.62269104
6,4,5,2,1,0,.18438303
9,6,4,2,1,,.83921564
8,3,4,3,1,1,.48446608
8,3,3,3,1,1,.64473975
6,4,6,1,1,1,.034635708
8,3,4,3,1,1,.74824876
6,3,4,2,1,1,.089595914
4,5,5,4,1,1,.3612543
8,4,4,2,1,1,.61260235
8,3,6,2,1,,.49693188
6,7,5,,1,1,.015301493
3,3,3,2,1,1,.54271978
1,7,4,1,1,,.045412268
2,6,3,1,1,,.47694263
3,4,6,2,1,1,.68091732
1,2,2,,1,0,.7246787
4,3,6,1,1,0,.73877615
1,5,3,1,0,0,.68847114
9,3,6,1,0,1,.38245317
7,6,6,2,1,,.79576725
8,5,5,3,1,1,.45859036
6,2,4,2,1,0,.87658638
6,2,4,5,1,1,.53131759
8,4,6,3,0,1,.45860073
8,5,4,2,1,1,.77520829
7,3,3,3,1,1,.51895624
3,2,5,6,1,1,.75385016
1,2,4,6,1,1,.18521771
9,2,3,8,1,1,.65803212
4,7,3,2,1,,.15807964
4,7,3,2,1,,.92318392
1,2,4,1,0,,.39847523
1,2,5,4,1,1,.0052276296
3,3,5,4,1,,.81156182
2,3,3,2,1,1,.1763781
5,4,4,1,1,0,.032954417
3,6,3,2,1,1,.20325008
3,4,5,3,1,1,.21014699
4,4,3,2,1,1,.40550119
2,6,2,4,1,1,.32706946
4,5,4,2,0,1,.28943086
5,3,4,2,1,1,.10893975
5,7,4,2,1,,.084712386
5,7,4,2,1,1,.16488822
1,6,2,,1,,.67855889
5,4,3,4,1,1,.0073345974
7,4,5,4,1,1,.56347805
5,3,3,2,1,1,.29345974
8,3,4,4,1,1,.34464312
5,6,4,2,1,1,.78278351
4,2,3,7,1,1,.28319231
3,6,2,3,1,1,.9277705
2,2,4,3,1,1,.089467846
4,3,5,3,1,1,.55639941
8,7,4,1,1,1,.074637726
9,3,5,2,1,1,.31216329
2,7,3,2,1,1,.19268268
7,3,4,4,1,1,.93338108
5,5,6,7,0,1,.84383368
9,4,6,3,1,1,.64847672
8,3,4,4,1,1,.45013729
4,7,4,2,1,1,.11123316
6,3,4,1,1,1,.68794757
4,2,5,1,1,0,.31119156
2,6,3,2,0,1,.50122023
1,1,2,3,1,1,.77052379
1,2,6,1,1,0,.35930717
1,1,2,3,1,1,.49729183
3,7,3,1,1,0,.67756581
6,6,4,2,1,1,.53953046
9,2,4,2,1,0,.72879976
9,2,4,2,1,0,.93279737
1,5,4,1,1,0,.85305643
9,5,4,2,1,,.15543929
1,2,4,4,1,1,.23859552
7,5,,4,1,1,.69448322
4,4,4,2,1,1,.2454206
7,3,4,1,1,1,.48336333
4,4,4,4,0,1,.94459766
7,4,4,4,1,1,.90374154
1,1,2,4,1,1,.24302611
8,3,5,1,1,0,.75579786
8,5,4,3,1,1,.5309251
3,4,4,1,1,1,.7679258
7,4,4,4,1,1,.46181375
8,4,5,2,1,1,.59377366
3,7,3,2,1,1,.34059536
9,3,6,2,1,,.54628468
1,3,4,,1,0,.93359774
1,2,4,2,1,0,.75941038
4,3,4,1,1,1,.47327951
8,3,5,2,1,1,.43091911
8,4,5,2,1,1,.51812798
1,2,4,2,1,0,.32132158
5,4,4,3,0,1,.87204009
6,4,5,1,1,1,.50913924
1,3,4,1,1,0,.0082014473
6,6,5,1,1,1,.51688135
4,5,4,2,1,1,.62037736
1,1,2,5,1,1,.80847448
4,6,3,2,1,1,.63397694
1,1,1,4,1,,.10678492
1,1,2,4,1,,.99794471
6,7,3,2,1,1,.78385502
6,7,3,2,1,1,.53522098
5,4,4,2,1,1,.6517821
1,1,2,5,0,,.22755297
1,1,1,5,0,1,.65558058
6,3,3,1,1,0,.63309336
7,3,4,4,1,1,.47765493
5,4,6,5,1,1,.79709756
2,2,3,3,1,0,.74562871
4,2,4,1,1,0,.74489349
2,7,4,2,1,1,.39024746
2,2,3,,0,0,.34738955
1,2,4,3,1,1,.77146626
2,3,3,3,1,0,.984281
6,7,3,2,1,,.85514379
3,2,3,3,0,1,.90380532
8,5,3,2,0,1,.56483054
5,6,4,2,1,0,.94617593
3,7,4,1,1,1,.31425804
4,4,5,,0,1,.80310166
4,3,4,2,1,1,.096537128
8,4,4,2,1,1,.91029936
8,3,4,3,1,1,.33969566
1,2,4,1,1,0,.26456371
1,2,4,3,1,,.80696392
8,4,6,4,1,1,.25688973
1,2,4,5,0,0,.69354254
3,6,2,1,1,1,.203871
4,3,4,3,1,1,.20104358
3,3,5,1,1,0,.46461987
3,7,2,,0,,.89338976
1,7,5,1,1,,.038240179
6,3,6,5,1,1,.13844115
6,3,6,5,0,1,.51898241
6,4,4,1,1,1,.69437152
4,3,3,,0,,.53279144
5,2,3,3,1,0,.71871179
3,4,6,1,1,0,.22196159
1,1,2,3,1,1,.21997559
4,4,4,4,1,1,.17882447
9,6,3,,1,,.36063996
4,2,5,3,1,0,.036739372
4,4,5,1,1,0,.57537925
1,2,2,5,1,1,.22196399
1,1,2,3,1,0,.79795957
8,4,5,3,1,1,.16497013
6,2,3,3,1,,.89665014
1,1,2,4,1,,.86392331
5,3,4,1,1,1,.40857747
9,3,5,7,1,1,.19491421
6,5,4,2,1,,.78402442
9,6,5,2,1,,.070528001
4,3,3,2,0,1,.24286841
1,1,2,4,0,1,.204897
3,3,4,3,0,,.2065663
1,1,1,2,0,0,.49004483
2,7,3,1,1,,.26690826
3,7,3,2,1,0,.01006614
1,1,2,7,0,1,.83619332
1,1,2,,0,1,.47653151
8,3,5,3,1,1,.4714345
7,3,4,5,1,1,.38019013
8,5,6,1,1,1,.81685901
5,3,4,1,0,1,.41282403
9,3,6,1,1,,.12924023
1,1,3,5,1,1,.21030535
1,1,3,2,1,1,.71372539
1,3,4,2,1,0,.35039067
7,3,4,2,1,1,.070864081
3,7,3,1,1,1,.68816614
1,1,2,4,0,1,.46030918
1,2,4,5,1,1,.23016937
8,5,4,2,0,1,.61717314
1,5,5,2,1,1,.69491965
2,2,3,,0,,.33741587
2,2,2,,0,,.38702098
6,4,5,1,1,1,.09764836
6,4,3,5,0,1,.97116446
1,1,2,5,0,1,.012112502
6,5,2,1,1,,.62952197
4,2,3,3,1,0,.22516102
4,3,5,2,0,,.95873928
3,4,6,1,1,1,.32094237
6,4,5,2,1,1,.90414637
4,6,4,2,1,1,.19612606
1,4,6,3,1,0,.91468745
2,4,3,3,0,0,.016822837
1,1,2,2,1,1,.58061939
6,3,4,3,1,1,.94349885
1,1,2,4,1,,.84244746
2,2,4,1,1,1,.92549688
9,2,3,4,1,1,.51358241
1,2,4,,1,1,.76842421
6,5,4,1,1,0,.025929922
8,6,4,2,1,1,.69119728
9,5,4,5,1,1,.61221611
7,3,4,4,1,1,.62870538
6,3,6,4,1,1,.56436235
2,2,3,4,0,1,.61444515
6,3,5,2,1,1,.26986599
3,3,3,2,1,1,.03489263
7,3,4,2,1,1,.86020249
8,3,4,2,1,1,.35740972
1,3,5,2,1,,.20173408
1,3,5,2,1,,.80177128
7,7,6,1,1,1,.15975595
3,2,3,4,0,1,.7445277
1,2,4,1,1,0,.52616996
7,4,4,3,1,1,.81947756
7,3,4,3,1,1,.31546432
1,1,1,6,0,0,.035660651
6,7,4,2,1,,.20502636
9,5,6,3,1,1,.14937198
1,1,2,3,1,1,.0028598644
1,1,2,6,1,1,.42831779
8,5,4,3,1,1,.71848238
3,4,4,5,0,,.83810806
3,2,4,6,0,,.18588196
6,3,5,1,1,,.88487667
7,7,4,2,1,1,.5469507
1,1,2,6,0,1,.6376462
8,4,5,6,0,1,.48970369
7,2,3,3,1,,.21063723
7,2,4,2,1,0,.73632234
7,3,4,2,1,0,.83175975
4,4,6,3,0,1,.94929057
8,4,3,3,1,1,.73946708
7,7,6,1,1,,.78606319
2,2,4,5,1,1,.36633456
1,1,2,4,1,1,.47632048
5,2,6,2,1,0,.43252873
7,2,5,2,1,0,.64594388
1,1,2,5,1,1,.2420242
1,1,2,4,1,1,.88965267
4,3,4,1,1,1,.12809317
7,2,4,2,1,0,.14697766
3,3,4,3,1,1,.4884153
7,5,4,3,1,1,.49010965
7,4,4,3,1,1,.52055991
9,3,4,2,0,,.88795197
8,4,6,1,1,1,.41735947
7,4,3,4,1,1,.03257617
6,4,6,1,1,1,.37046635
6,2,4,2,1,0,.3774713
5,3,4,1,1,0,.19523579
5,5,3,2,1,1,.45177978
9,6,6,2,1,1,.020191964
4,4,4,3,0,1,.62463778
2,7,3,,1,,.28260428
5,3,4,2,1,0,.61271226
7,3,4,2,1,1,.76186794
3,7,3,3,1,1,.84975046
4,5,4,2,1,1,.015242445
7,5,4,3,1,1,.53960079
7,3,4,5,1,1,.16114493
7,4,3,3,0,,.044389211
4,5,4,3,1,1,.075010024
3,3,4,3,1,1,.5790233
6,3,4,3,1,0,.58924949
5,2,5,2,1,1,.24598008
8,5,4,3,1,1,.38606578
2,7,4,,1,,.54156482
3,3,4,1,1,1,.46492267
9,4,4,4,1,1,.1909824
6,5,5,1,1,,.25016406
2,3,3,6,1,1,.59258175
1,1,2,4,1,,.53520966
1,1,2,3,1,1,.58649206
8,1,2,4,1,1,.16810808
1,1,2,4,1,,.60407138
8,6,5,2,1,1,.87270087
8,4,4,3,1,1,.99036819
7,6,6,1,1,1,.045407802
2,7,4,,0,0,.14914225
2,2,3,1,1,0,.44899541
5,7,4,2,1,,.52572006
5,7,4,3,1,1,.040998906
9,4,5,2,1,1,.60823399
3,3,2,4,0,,.48217621
6,3,5,2,1,1,.15845208
6,7,3,2,1,1,.24148299
6,7,3,2,1,1,.76880819
9,4,6,4,1,1,.17088246
1,3,5,1,1,1,.93009329
1,3,3,2,1,,.61914986
7,5,5,3,0,1,.21185684
3,6,4,5,1,1,.45555985
5,4,4,3,1,1,.82776177
4,7,5,,1,,.92460752
6,3,2,1,1,1,.50912839
4,2,4,2,1,0,.49702337
9,7,5,2,1,1,.76062244
2,2,4,2,1,0,.945023
1,6,3,,1,1,.93420786
1,1,2,3,1,1,.49497098
7,6,3,3,1,1,.35238254
8,7,3,2,1,,.45202985
5,4,4,4,1,,.81085122
6,2,4,2,1,0,.922225
4,4,3,4,0,0,.51293933
6,5,5,2,1,1,.64243424
9,3,4,5,1,1,.22544003
8,4,3,2,1,1,.96880561
3,5,5,4,0,1,.13827966
5,3,4,2,1,1,.64645916
6,2,3,6,1,1,.39923203
7,5,4,3,1,1,.4699738
3,3,4,2,0,1,.23529056
5,6,4,2,1,,.82710904
9,5,3,3,1,1,.69822776
7,5,3,4,0,1,.93737555
6,6,5,2,1,1,.46266618
8,3,4,3,1,1,.16213511
8,3,4,3,1,1,.054522134
5,3,4,1,1,,.20197509
3,4,3,,1,0,.0041777259
7,4,6,2,0,1,.84463507
1,1,3,4,0,1,.36415079
7,4,6,2,0,1,.81075484
4,3,4,1,1,1,.27155378
3,3,5,1,1,1,.51708394
1,1,2,4,1,1,.51235271
1,1,2,4,1,1,.023475051
1,3,4,,1,,.35587874
4,4,6,2,1,1,.97075361
4,2,4,3,0,,.5841006
8,6,6,9,0,1,.43261304
8,4,4,3,1,1,.40152293
2,5,4,1,1,1,.67180967
6,3,5,2,0,1,.095712878
1,7,4,1,1,0,.19577079
3,3,3,3,0,1,.50489724
7,4,5,4,1,1,.02832463
5,5,4,1,1,,.46620724
4,3,3,3,1,1,.99765885
4,4,3,1,1,1,.423397
8,5,6,4,1,1,.74351323
6,1,2,,0,1,.44775137
6,4,4,5,1,1,.27168334
1,2,4,1,0,,.68662018
5,5,2,3,1,,.42387393
3,6,3,1,1,1,.054729436
3,3,4,1,0,1,.85122633
8,5,3,2,1,1,.29978186
8,2,3,3,1,1,.81253803
7,4,5,1,1,0,.77223104
3,3,4,3,1,1,.046614841
4,3,4,,1,,.99576193
6,4,4,2,1,,.19743223
5,4,5,1,1,,.82559645
8,6,6,3,1,1,.85243428
9,6,4,3,1,1,.47970185
2,3,4,3,1,,.27727881
7,4,6,2,1,,.65082198
1,3,3,1,1,0,.10572556
2,2,4,2,1,0,.014234847
8,4,4,1,1,,.44810054
8,3,4,3,1,1,.28715575
8,4,3,4,1,1,.12802891
7,4,3,4,1,1,.79448837
6,4,3,4,1,1,.96803284
3,7,4,1,1,1,.018150784
6,3,3,4,1,0,.25817555
7,3,3,3,1,1,.13310464
1,1,2,4,1,1,.766541
8,4,4,3,1,1,.0086719468
4,3,4,1,0,0,.68907434
